city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
233,geraldton,99,AU,1597861797,87,-28.77,114.6,50.0,4.7
234,ossora,100,RU,1597861262,84,59.24,163.07,54.28,17.11
235,cabatuan,99,PH,1597861798,87,10.88,122.49,76.03,2.39
236,kavieng,74,PG,1597861799,74,-2.57,150.8,82.54,7.63
237,mingaora,0,PK,1597861722,66,34.78,72.36,76.06,4.79
238,tulsipur,97,NP,1597861800,87,28.13,82.3,84.0,3.04
239,ayagoz,5,KZ,1597861257,32,47.97,80.44,64.85,8.72
240,humaita,3,BR,1597861802,20,-7.51,-63.02,105.78,4.27
241,lufkin,20,US,1597861766,40,31.34,-94.73,89.6,4.7
242,honiara,20,SB,1597861776,100,-9.43,159.95,73.4,2.24
243,belem de sao francisco,100,BR,1597861804,21,-8.75,-38.97,90.99,13.62
244,manaure,75,CO,1597861805,88,11.78,-72.44,80.6,6.93
245,dekernes,0,EG,1597861807,90,31.09,31.59,70.12,4.36
246,dongzhen,100,CN,1597861807,89,22.38,110.94,75.72,2.62
247,araouane,50,ML,1597861809,24,18.9,-3.53,100.81,10.31
248,libertador general san martin,71,AR,1597861810,26,-23.81,-64.79,70.0,1.99
249,katsuura,20,JP,1597861810,88,35.13,140.3,80.6,10.29
250,lerwick,90,GB,1597861768,100,60.15,-1.15,59.0,10.29
251,nuuk,5,GL,1597861811,71,64.18,-51.72,51.8,16.11
252,nikki,100,BJ,1597861812,91,9.94,3.21,74.28,5.59
253,khor,91,RU,1597861813,81,47.89,134.95,49.35,7.74
254,rio gallegos,99,AR,1597861709,70,-51.62,-69.22,46.4,24.16
255,takoradi,0,GH,1597861816,85,4.88,-1.76,75.69,9.71
256,yutsa,0,RU,1597861817,35,43.96,43.01,73.0,4.47
257,sarankhola,100,BD,1597861818,91,22.31,89.79,79.5,11.95
258,leninskoye,9,RU,1597861819,79,47.94,132.62,50.54,7.61
259,chuy,29,UY,1597861820,50,-33.7,-53.46,51.49,14.97
260,mirnyy,9,RU,1597861820,81,62.54,113.96,51.8,13.42
261,batagay,97,RU,1597861821,81,67.63,134.63,37.47,5.64
262,palmer,75,US,1597861263,50,42.16,-72.33,77.0,5.82
263,tuktoyaktuk,90,CA,1597861763,100,69.45,-133.04,46.4,9.17
264,lata,0,PT,1597861233,62,40.16,-8.33,80.01,5.01
265,alice springs,0,AU,1597861669,34,-23.7,133.88,50.0,5.82
266,port hawkesbury,40,CA,1597861826,61,45.62,-61.35,79.0,10.29
267,bubaque,89,GW,1597861701,84,11.28,-15.83,81.82,13.49
268,maniitsoq,0,GL,1597861716,70,65.42,-52.9,49.44,6.46
269,kalabo,0,ZM,1597861828,24,-14.97,22.68,67.62,8.9
270,labuhan,64,ID,1597861243,76,-6.88,112.21,77.14,6.98
271,naze,0,JP,1597861830,94,28.37,129.48,78.8,2.24
272,tiksi,71,RU,1597861831,88,71.69,128.87,35.1,5.01
273,bondo,92,CD,1597861832,98,3.81,23.69,69.12,1.68
274,berdigestyakh,63,RU,1597861742,79,62.1,126.7,46.24,5.3
275,aginskoye,76,RU,1597861834,68,51.1,114.53,48.06,7.0
276,provideniya,99,RU,1597861835,72,64.38,-173.3,52.72,2.57
277,christchurch,90,NZ,1597861642,100,-43.53,172.63,46.4,3.36
278,kampong thum,100,KH,1597861838,84,12.71,104.89,75.52,4.41
279,san felipe,74,VE,1597861839,80,10.34,-68.74,83.52,2.86
280,dalvik,20,IS,1597861840,66,65.97,-18.53,53.6,10.29
281,yagodnoye,100,RU,1597861841,91,62.55,149.67,46.49,6.96
282,iqaluit,90,CA,1597861841,93,63.75,-68.51,46.4,12.75
283,saint-georges,20,GD,1597861551,66,12.06,-61.75,89.6,13.87
284,plettenberg bay,24,ZA,1597861780,66,-34.05,23.37,51.03,4.18
285,pevek,83,RU,1597861843,72,69.7,170.31,43.05,9.53
286,padang,73,ID,1597861659,78,-0.95,100.35,79.23,3.04
287,bella union,96,UY,1597861845,50,-30.28,-57.6,54.21,19.89
288,lavrentiya,100,RU,1597861846,79,65.58,-171.0,50.41,4.68
289,roma,75,US,1597861804,43,43.21,-75.46,73.4,14.99
290,talnakh,0,RU,1597861848,54,69.49,88.4,55.4,8.95
